2026-04-18 23:15:33 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/customers/customers_batch_3.json.gz
2026-04-18 23:15:35 | INFO     | SapoExtractor | extract_json_gzip:33 | Extracted 10000 records from shared/customers/customers_batch_3.json.gz
2026-04-18 23:15:35 | INFO     | SapoExtractor | extract_json_gzip_batches:51 | Extracting batch 5/10: shared/customers/customers_batch_4.json.gz
2026-04-18 23:15:35 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/customers/customers_batch_4.json.gz
2026-04-18 23:15:38 | INFO     | SapoExtractor | extract_json_gzip:33 | Extracted 10000 records from shared/customers/customers_batch_4.json.gz
2026-04-18 23:15:38 | INFO     | SapoExtractor | extract_json_gzip_batches:51 | Extracting batch 6/10: shared/customers/customers_batch_5.json.gz
2026-04-18 23:15:38 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/customers/customers_batch_5.json.gz
2026-04-18 23:15:41 | INFO     | SapoExtractor | extract_json_gzip:33 | Extracted 10000 records from shared/customers/customers_batch_5.json.gz
2026-04-18 23:15:41 | INFO     | SapoExtractor | extract_json_gzip_batches:51 | Extracting batch 7/10: shared/customers/customers_batch_6.json.gz
2026-04-18 23:15:41 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/customers/customers_batch_6.json.gz
2026-04-18 23:15:43 | INFO     | SapoExtractor | extract_json_gzip:33 | Extracted 10000 records from shared/customers/customers_batch_6.json.gz
2026-04-18 23:15:43 | INFO     | SapoExtractor | extract_json_gzip_batches:51 | Extracting batch 8/10: shared/customers/customers_batch_7.json.gz
2026-04-18 23:15:43 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/customers/customers_batch_7.json.gz
2026-04-18 23:15:46 | INFO     | SapoExtractor | extract_json_gzip:33 | Extracted 10000 records from shared/customers/customers_batch_7.json.gz
2026-04-18 23:15:46 | INFO     | SapoExtractor | extract_json_gzip_batches:51 | Extracting batch 9/10: shared/customers/customers_batch_8.json.gz
2026-04-18 23:15:46 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/customers/customers_batch_8.json.gz
2026-04-18 23:15:48 | INFO     | SapoExtractor | extract_json_gzip:33 | Extracted 10000 records from shared/customers/customers_batch_8.json.gz
2026-04-18 23:15:48 | INFO     | SapoExtractor | extract_json_gzip_batches:51 | Extracting batch 10/10: shared/customers/customers_batch_9.json.gz
2026-04-18 23:15:48 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/customers/customers_batch_9.json.gz
2026-04-18 23:15:51 | INFO     | SapoExtractor | extract_json_gzip:33 | Extracted 10000 records from shared/customers/customers_batch_9.json.gz
2026-04-18 23:15:51 | INFO     | SapoExtractor | extract_json_gzip_batches:57 | Total records from 10 batches: 100000
2026-04-18 23:15:51 | INFO     | SapoExtractor | extract_customers:42 | Customer extraction complete: 100000 customers
2026-04-18 23:15:51 | INFO     | SapoExtractor | extract_products:52 | Starting products extraction...
2026-04-18 23:15:51 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/products.json.gz
2026-04-18 23:15:52 | INFO     | SapoExtractor | extract_json_gzip:33 | Extracted 1300 records from shared/products.json.gz
2026-04-18 23:15:52 | INFO     | SapoExtractor | extract_products:54 | Products extraction complete: 1300 products
2026-04-18 23:15:52 | INFO     | SapoExtractor | extract_locations:64 | Starting locations extraction...
2026-04-18 23:15:52 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/shared/sapo_locations.json.gz
2026-04-18 23:15:53 | INFO     | SapoExtractor | extract_json_gzip:33 | Extracted 50 records from shared/sapo_locations.json.gz
2026-04-18 23:15:53 | INFO     | SapoExtractor | extract_locations:66 | Locations extraction complete: 50 locations
2026-04-18 23:15:53 | INFO     | SapoExtractor | extract_orders:24 | Starting Sapo orders extraction...
2026-04-18 23:15:53 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/sapo/transactions.json.gz
2026-04-18 23:15:56 | INFO     | SapoExtractor | extract_json_gzip:33 | Extracted 5000 records from sapo/transactions.json.gz
2026-04-18 23:15:56 | INFO     | SapoExtractor | extract_orders:26 | Sapo extraction complete: 5000 orders
2026-04-18 23:15:56 | INFO     | SapoExtractor | extract_online_orders:76 | Starting online orders extraction...
2026-04-18 23:15:56 | INFO     | SapoExtractor | extract_json_gzip:24 | Extracting: gs://minpy/online_orders/online_orders.json.gz
2026-04-18 23:16:26 | INFO     | SapoExtractor | extract_json_gzip:33 | Extracted 200000 records from online_orders/online_orders.json.gz
2026-04-18 23:16:26 | INFO     | SapoExtractor | extract_online_orders:78 | Online orders extraction complete: 200000 orders
2026-04-18 23:16:26 | INFO     | PaymentExtractor | extract_paypal:23 | Starting PayPal extraction...
2026-04-18 23:16:26 | INFO     | PaymentExtractor | extract_json_gzip:24 | Extracting: gs://minpy/paypal/transactions.json.gz
2026-04-18 23:16:32 | INFO     | PaymentExtractor | extract_json_gzip:33 | Extracted 11000 records from paypal/transactions.json.gz
2026-04-18 23:16:32 | INFO     | PaymentExtractor | extract_paypal:25 | PayPal extraction complete: 11000 transactions
